Date,Unnamed: 0,Unnamed: 0.1,percent,label_index
2016년09월14일(수),19104.5,19104.5,85.939,-0.5
2016년09월15일(목),19093.5,19093.5,82.25,-0.5
2016년09월16일(금),19081.0,19081.0,85.33769230769232,-0.46153846153846156
2016년09월19일(월),19070.5,19070.5,82.86125,-0.625
2016년09월20일(화),19062.0,19062.0,76.58333333333333,0.1111111111111111
2016년09월21일(수),19053.0,19053.0,73.74444444444445,0.0
2016년09월22일(목),19043.0,19043.0,81.92090909090909,-0.6363636363636364
2016년09월23일(금),19033.0,19033.0,81.28888888888889,-0.2222222222222222
2016년09월26일(월),19024.0,19024.0,78.44999999999999,-0.2222222222222222
2016년09월27일(화),19014.0,19014.0,86.71363636363637,-0.2727272727272727
2016년09월28일(수),19001.0,19001.0,86.404,-0.6
2016년09월29일(목),18990.0,18990.0,82.60285714285715,-0.42857142857142855
2016년09월30일(금),18982.0,18982.0,76.61888888888888,-0.1111111111111111
2016년10월03일(월),18976.5,18976.5,93.89500000000001,-1.0
2016년10월04일(화),18970.0,18970.0,82.7909090909091,-0.45454545454545453
2016년10월05일(수),18960.0,18960.0,88.43,-0.6666666666666666
2016년10월06일(목),18949.0,18949.0,89.39076923076922,-0.7692307692307693
2016년10월07일(금),18937.0,18937.0,79.11545454545454,-0.45454545454545453
2016년10월10일(월),18926.0,18926.0,88.63818181818182,-0.8181818181818182
2016년10월11일(화),18914.5,18914.5,93.0475,-0.75
2016년10월12일(수),18903.5,18903.5,91.319,-0.7
2016년10월13일(목),18894.5,18894.5,77.37125,-0.375
2016년10월14일(금),18885.0,18885.0,73.65181818181817,-0.2727272727272727
2016년10월17일(월),18874.0,18874.0,88.85909090909091,-0.8181818181818182
2016년10월18일(화),18863.5,18863.5,89.73100000000001,-0.8
2016년10월19일(수),18854.0,18854.0,83.44333333333333,-0.4444444444444444
2016년10월20일(목),18843.5,18843.5,82.41333333333334,-0.16666666666666666
2016년10월21일(금),18832.5,18832.5,84.702,-0.7
2016년10월24일(월),18823.0,18823.0,84.01,-0.5555555555555556
2016년10월25일(화),18813.5,18813.5,86.607,-0.3
2016년10월26일(수),18804.0,18804.0,83.61555555555555,-0.6666666666666666
2016년10월27일(목),18794.0,18794.0,82.33090909090909,-0.6363636363636364
2016년10월28일(금),18782.5,18782.5,82.92416666666666,-0.5833333333333334
2016년10월31일(월),18772.5,18772.5,85.46875,-0.75
2016년11월01일(화),18763.0,18763.0,89.2909090909091,-0.8181818181818182
2016년11월02일(수),18753.5,18753.5,85.54375,-0.625
2016년11월03일(목),18744.5,18744.5,82.886,-0.3
2016년11월04일(금),18735.0,18735.0,92.30444444444444,-0.8888888888888888
2016년11월07일(월),18726.5,18726.5,79.695,-0.25
2016년11월08일(화),18717.0,18717.0,85.57454545454546,-0.8181818181818182
2016년11월09일(수),18706.0,18706.0,86.00363636363636,-0.45454545454545453
2016년11월10일(목),18694.5,18694.5,77.64666666666666,-0.08333333333333333
2016년11월11일(금),18682.0,18682.0,84.79153846153847,-0.3076923076923077
