iter	Logloss
328	0.6790290716
329	0.6790213412
330	0.6790113084
331	0.6790012187
332	0.6789948944
333	0.6789837232
334	0.6789721355
335	0.6789633297
336	0.6789507884
337	0.6789385672
338	0.6789312296
339	0.6789206015
340	0.6789074425
341	0.678897828
342	0.6788895208
343	0.678876126
344	0.6788668411
345	0.6788542908
346	0.6788459212
347	0.6788364236
348	0.6788252609
349	0.6788140807
350	0.6788026071
351	0.6787899245
352	0.6787805681
353	0.6787679552
354	0.6787547912
355	0.6787414319
356	0.6787281706
357	0.6787163136
358	0.6787089408
359	0.6786991498
360	0.6786923455
361	0.6786774907
362	0.6786670051
363	0.6786567149
364	0.6786490481
365	0.6786384993
366	0.6786258606
367	0.6786170737
368	0.6786058767
369	0.6785947242
370	0.678579903
371	0.6785680735
372	0.6785564261
373	0.6785457805
374	0.6785357925
375	0.6785256455
376	0.6785157113
377	0.6785026891
378	0.6784912431
379	0.6784810841
380	0.6784705855
381	0.6784636379
382	0.6784517826
383	0.6784440174
384	0.6784331578
385	0.678420197
386	0.6784071869
387	0.6783974392
388	0.6783873441
389	0.6783783848
390	0.6783646713
391	0.6783564161
392	0.6783482681
393	0.6783382881
394	0.678328175
395	0.6783198587
396	0.6783095857
397	0.6783027545
398	0.6782896624
399	0.6782772567
400	0.6782658718
401	0.6782529833
402	0.6782410295
403	0.6782311128
404	0.6782198439
405	0.6782083077
406	0.6781970593
407	0.6781836733
408	0.6781735427
409	0.6781636155
410	0.6781516346
411	0.6781434075
412	0.6781350734
413	0.6781251207
414	0.6781124374
415	0.6781031769
416	0.678092999
417	0.6780830033
418	0.6780734589
419	0.6780648908
420	0.6780504988
421	0.6780376914
422	0.6780267427
423	0.6780200808
424	0.6780103234
425	0.678000169
426	0.6779904825
427	0.677981321
428	0.6779739565
429	0.6779624821
430	0.6779471373
431	0.6779358415
432	0.6779258171
433	0.6779121363
434	0.6779045757
435	0.6778956369
436	0.6778855063
437	0.6778740319
438	0.6778622467
439	0.677854447
440	0.6778448042
441	0.6778371032
442	0.6778270429
443	0.6778160561
444	0.6778056548
445	0.6777967088
446	0.6777892911
447	0.6777775694
448	0.677769315
449	0.6777589173
450	0.6777469817
451	0.6777355827
452	0.6777259768
453	0.6777172164
454	0.6777081357
455	0.6776971777
456	0.6776892171
457	0.6776757787
458	0.6776663239
459	0.6776563807
460	0.677643167
461	0.6776316494
462	0.6776201224
463	0.6776110676
464	0.6776023731
465	0.6775910773
466	0.6775794345
467	0.6775676053
468	0.6775550453
469	0.6775447051
470	0.6775327781
471	0.6775248801
472	0.6775140844
473	0.6775069232
474	0.6774985356
475	0.6774936684
476	0.6774863488
477	0.6774792868
478	0.6774705797
479	0.6774633576
480	0.677450773
481	0.677439664
482	0.6774322194
483	0.6774205415
484	0.6774102686
485	0.6774036766
486	0.6773909838
487	0.6773788312
488	0.677368007
489	0.6773590409
490	0.6773482699
491	0.6773395169
492	0.6773293417
493	0.6773177579
494	0.6773074231
495	0.6772950937
496	0.6772859332
497	0.6772766555
498	0.6772622121
499	0.6772523566
500	0.6772414975
501	0.6772321509
502	0.677221469
503	0.6772135252
504	0.6772040059
505	0.6771949703
506	0.677187526
507	0.6771760429
508	0.6771684669
509	0.6771592786
510	0.6771487043
511	0.6771376752
512	0.6771295462
513	0.6771227942
514	0.6771119342
515	0.6771011989
516	0.6770896347
517	0.6770826348
518	0.6770722984
519	0.67706327
520	0.6770540097
521	0.677042819
522	0.6770306516
523	0.6770215351
524	0.6770149538
525	0.677005659
526	0.6769934913
527	0.6769863312
528	0.6769752388
529	0.676965011
530	0.6769541245
531	0.6769444734
532	0.6769343876
533	0.6769243555
534	0.6769161816
535	0.6769071358
536	0.6769011853
537	0.6768895786
538	0.6768822228
539	0.6768727777
540	0.6768636257
541	0.6768547313
542	0.676847003
543	0.6768364465
544	0.6768249273
545	0.6768172332
546	0.6768102517
547	0.6767991061
548	0.6767875079
549	0.6767770491
550	0.6767685792
551	0.6767596761
552	0.6767508267
553	0.676744076
554	0.6767363466
555	0.6767288107
556	0.6767203433
557	0.6767056949
558	0.6766970317
559	0.6766877014
560	0.6766787538
561	0.6766724557
562	0.6766610971
563	0.6766515447
564	0.6766421607
565	0.6766334888
566	0.6766220593
567	0.6766144814
568	0.6766044579
569	0.676592655
570	0.6765823188
571	0.6765726068
572	0.6765637021
573	0.6765554213
574	0.6765452378
575	0.6765349647
576	0.676525224
577	0.6765149422
578	0.6765039129
579	0.6764926261
580	0.6764807707
581	0.676470098
582	0.6764588113
583	0.67644944
584	0.6764382502
585	0.6764282367
586	0.6764191542
587	0.6764115315
588	0.6764025838
589	0.6763943209
590	0.6763864763
591	0.676377689
592	0.6763719883
593	0.6763656181
594	0.6763560923
595	0.6763448682
596	0.6763359468
597	0.6763256912
598	0.676318353
599	0.676310784
600	0.6763025478
601	0.6762944187
602	0.6762866199
603	0.6762758508
604	0.6762659781
605	0.6762578577
606	0.6762498523
607	0.6762398814
608	0.6762306492
609	0.6762235874
610	0.6762140972
611	0.6762038151
612	0.6761950185
613	0.676185024
614	0.6761751145
615	0.6761656781
616	0.6761565084
617	0.6761462619
618	0.6761350371
619	0.6761280371
620	0.6761185726
621	0.6761085659
622	0.6761001881
623	0.6760904132
624	0.6760824259
625	0.6760776139
626	0.6760670563
627	0.6760597797
628	0.6760533221
629	0.6760413685
630	0.676033569
631	0.6760262944
632	0.6760148651
633	0.6760047258
634	0.6759948529
635	0.6759854633
636	0.6759766486
637	0.6759670343
638	0.6759560147
639	0.675945893
640	0.6759373354
641	0.6759301126
642	0.6759220992
643	0.6759101912
644	0.6759047753
645	0.6758947873
646	0.6758858746
647	0.6758741608
648	0.6758616727
649	0.6758502756
650	0.6758403318
651	0.6758338746
652	0.6758266169
653	0.6758179349
654	0.6758088351
655	0.6758004429
656	0.6757896362
657	0.6757791671
658	0.675770868
659	0.6757637259
660	0.6757585136
661	0.675750804
662	0.6757422132
663	0.675735071
664	0.6757260782
665	0.6757165881
666	0.6757060037
667	0.6756954372
668	0.6756867361
669	0.6756796112
670	0.6756704371
671	0.6756604311
672	0.675653611
673	0.6756421803
674	0.6756336152
675	0.6756246137
676	0.6756160581
677	0.6756076262
678	0.6755994965
679	0.675587321
680	0.6755793695
681	0.6755693351
682	0.6755588666
683	0.6755510748
684	0.6755425897
685	0.6755309827
686	0.6755214304
687	0.6755148308
688	0.6755054918
689	0.6754934579
690	0.6754831849
691	0.6754758383
692	0.675464684
693	0.6754551765
694	0.6754442543
695	0.6754353325
696	0.6754248984
697	0.6754158707
698	0.6754094847
699	0.6753985037
700	0.6753869221
701	0.6753794875
702	0.675370724
703	0.6753628613
704	0.6753561629
705	0.6753467428
706	0.6753346991
707	0.6753241772
708	0.6753139646
709	0.6753075077
710	0.675300855
711	0.6752911958
712	0.675282906
713	0.6752714237
714	0.6752605906
715	0.6752541866
716	0.6752459155
717	0.6752373587
718	0.6752285629
719	0.67521957
720	0.6752095019
721	0.6751998871
722	0.6751941585
723	0.6751868739
724	0.6751780147
725	0.6751690312
726	0.6751603948
727	0.6751536353
728	0.6751438513
729	0.6751351881
730	0.6751259308
731	0.6751151178
732	0.6751072281
733	0.6750994722
734	0.6750907464
735	0.6750823947
736	0.675075395
737	0.6750652015
738	0.6750559603
739	0.6750450386
740	0.6750334403
741	0.675025969
742	0.6750183203
743	0.6750105824
744	0.6750047122
745	0.6749970462
746	0.6749861144
747	0.6749777006
748	0.6749670388
749	0.6749586783
750	0.6749496586
751	0.6749412891
752	0.6749334887
753	0.6749237222
754	0.6749149174
755	0.6749048334
756	0.6748945514
757	0.6748839585
758	0.6748753919
759	0.6748683567
760	0.6748592675
761	0.6748509423
762	0.6748450452
763	0.6748361156
764	0.6748243653
765	0.6748139878
766	0.6748081531
767	0.6748007886
768	0.6747896879
769	0.6747801173
770	0.674769382
771	0.6747615816
772	0.6747554798
773	0.6747467719
774	0.6747408037
775	0.6747337682
776	0.6747233353
777	0.6747126184
778	0.6747069349
779	0.6746973641
780	0.6746906134
781	0.674681318
782	0.6746740869
783	0.6746668468
784	0.6746590099
785	0.6746534776
786	0.6746468963
787	0.6746354498
788	0.6746266791
789	0.6746187532
790	0.6746107755
791	0.6746002081
792	0.6745898097
793	0.6745824717
794	0.6745755875
795	0.674568045
796	0.6745586082
797	0.6745509766
798	0.6745408605
799	0.6745335049
800	0.6745259626
801	0.6745183397
802	0.6745063224
803	0.674498691
804	0.6744881599
805	0.6744798623
806	0.6744714203
807	0.6744621183
808	0.6744545938
809	0.6744472912
810	0.6744400954
811	0.6744317953
812	0.6744229187
813	0.674413837
814	0.674404818
815	0.6743979159
816	0.6743892608
817	0.6743807486
818	0.6743705022
819	0.6743609671
820	0.6743528195
821	0.6743455259
822	0.6743368635
823	0.6743285297
824	0.6743175624
825	0.674310269
826	0.6742996763
827	0.6742883183
828	0.674279086
829	0.6742734119
830	0.6742655494
831	0.6742548759
832	0.674248523
833	0.6742382324
834	0.6742288237
835	0.6742196181
836	0.6742110974
837	0.674201644
838	0.6741946175
839	0.6741859184
840	0.6741803424
841	0.6741732625
842	0.6741649906
843	0.6741574311
844	0.6741490347
845	0.6741394674
846	0.6741316583
847	0.6741210655
848	0.6741135143
849	0.6741040312
850	0.6740932163
851	0.67408474
852	0.6740786562
853	0.6740705891
854	0.6740613141
855	0.6740527219
856	0.6740420657
857	0.6740326824
858	0.6740257275
859	0.6740157837
860	0.6740089084
861	0.6740004666
862	0.6739885831
863	0.6739801682
864	0.6739690056
865	0.6739613569
866	0.6739568535
867	0.6739463488
868	0.673937535
869	0.6739283116
870	0.6739198616
871	0.6739098289
872	0.6739033362
873	0.67389414
874	0.6738844809
875	0.6738753514
876	0.6738674445
877	0.6738581402
878	0.6738492728
879	0.6738418369
880	0.6738358961
881	0.6738293234
882	0.6738195401
883	0.673811722
884	0.6738007277
885	0.6737925444
886	0.6737843621
887	0.6737745152
888	0.6737677367
889	0.6737573052
890	0.6737497708
891	0.6737417303
892	0.6737332628
893	0.6737236165
894	0.6737150512
895	0.6737044408
896	0.6736966313
897	0.6736860646
898	0.673678665
899	0.6736685432
900	0.6736601207
901	0.6736512003
902	0.6736434354
903	0.6736327475
904	0.6736248669
905	0.673615617
906	0.6736067228
907	0.6735984861
908	0.6735906416
909	0.6735824497
910	0.6735741238
911	0.673563576
912	0.6735510079
913	0.6735378895
914	0.6735317701
915	0.6735228748
916	0.6735117101
917	0.6735051192
918	0.6734967584
919	0.6734873485
920	0.6734778227
921	0.6734716856
922	0.6734643831
923	0.6734570622
924	0.6734483722
925	0.6734416836
926	0.6734323893
927	0.6734237684
928	0.6734171069
929	0.6734104002
930	0.6734055353
931	0.6733966156
932	0.6733902831
933	0.6733835859
934	0.6733737221
935	0.6733661717
936	0.6733575977
937	0.6733482146
938	0.6733397301
939	0.6733301861
940	0.6733206425
941	0.6733145547
942	0.6733081239
943	0.6732983205
944	0.6732915068
945	0.6732831209
946	0.6732737549
947	0.6732641661
948	0.6732578782
949	0.6732496155
950	0.6732400895
951	0.6732323147
952	0.6732265421
953	0.6732180125
954	0.6732108349
955	0.6732029817
956	0.6731950217
957	0.6731856202
958	0.6731779264
959	0.6731699843
960	0.6731621133
961	0.673155434
962	0.6731470907
963	0.6731369418
964	0.6731293377
965	0.6731204966
966	0.6731108117
967	0.6731019175
968	0.6730930233
969	0.6730830793
970	0.6730735173
971	0.6730626013
972	0.6730529688
973	0.6730470102
974	0.6730380334
975	0.6730287031
976	0.6730235889
977	0.6730144543
978	0.6730050622
979	0.6729986302
980	0.6729903481
981	0.6729817032
982	0.6729738996
983	0.6729662771
984	0.6729584857
985	0.6729469407
986	0.6729385173
987	0.6729287957
988	0.6729214589
989	0.6729141387
990	0.6729073878
991	0.6728989294
992	0.672890026
993	0.6728819855
994	0.6728715702
995	0.6728636541
996	0.6728546726
997	0.6728475571
998	0.6728376133
999	0.6728299468
