iter	Passed	Remaining
175	22875	107096
176	23010	106990
177	23137	106848
178	23263	106701
179	23377	106498
180	23517	106412
181	23645	106275
182	23774	106141
183	23902	106004
184	24028	105857
185	24147	105677
186	24253	105445
187	24362	105226
188	24493	105100
189	24627	104990
190	24770	104915
191	24911	104835
192	25037	104691
193	25146	104472
194	25282	104370
195	25425	104298
196	25594	104327
197	25731	104227
198	25856	104077
199	25992	103971
200	26146	103937
201	26268	103772
202	26416	103712
203	26579	103713
204	26735	103682
205	26880	103608
206	27024	103526
207	27148	103372
208	27278	103240
209	27422	103160
210	27561	103062
211	27701	102965
212	27853	102913
213	28004	102858
214	28147	102772
215	28274	102626
216	28390	102442
217	28528	102337
218	28702	102358
219	28831	102220
220	28983	102164
221	29102	101991
222	29237	101872
223	29355	101697
224	29484	101556
225	29619	101438
226	29769	101375
227	29911	101279
228	30054	101188
229	30184	101052
230	30322	100944
231	30465	100852
232	30592	100704
233	30726	100583
234	30869	100491
235	31003	100366
236	31141	100258
237	31292	100188
238	31429	100074
239	31559	99937
240	31684	99785
241	31816	99655
242	31947	99522
243	32070	99366
244	32206	99249
245	32346	99142
246	32485	99033
247	32604	98864
248	32730	98718
249	32851	98555
250	32982	98423
251	33102	98255
252	33240	98144
253	33390	98068
254	33533	97970
255	33658	97819
256	33798	97711
257	33946	97628
258	34099	97558
259	34231	97428
260	34362	97293
261	34504	97191
262	34651	97103
263	34797	97012
264	34938	96904
265	35097	96848
266	35232	96724
267	35361	96585
268	35509	96497
269	35648	96384
270	35794	96287
271	35914	96124
272	36049	96000
273	36181	95867
274	36320	95753
275	36448	95610
276	36565	95439
277	36695	95303
278	36824	95163
279	36955	95028
280	37077	94871
281	37201	94718
282	37343	94612
283	37469	94466
284	37603	94338
285	37721	94171
286	37857	94049
287	37994	93930
288	38124	93794
289	38255	93659
290	38392	93539
291	38504	93360
292	38641	93241
293	38781	93129
294	38913	92996
295	39042	92857
296	39176	92729
297	39315	92614
298	39448	92487
299	39590	92378
300	39732	92269
301	39858	92123
302	39986	91981
303	40120	91853
304	40260	91741
305	40398	91622
306	40530	91491
307	40671	91378
308	40819	91281
309	40970	91191
310	41096	91046
311	41235	90929
312	41377	90819
313	41532	90735
314	41698	90677
315	41826	90534
316	41972	90432
317	42085	90258
318	42219	90129
319	42343	89980
320	42480	89857
321	42619	89740
322	42764	89632
323	42891	89490
324	43025	89360
325	43162	89236
326	43297	89110
327	43429	88976
328	43544	88809
329	43666	88656
330	43801	88529
331	43937	88403
332	44077	88286
333	44203	88142
334	44335	88010
335	44466	87873
336	44590	87725
337	44728	87604
338	44857	87466
339	44979	87313
340	45110	87178
341	45225	87013
342	45352	86870
343	45481	86731
344	45619	86611
345	45771	86515
346	45901	86379
347	46035	86249
348	46162	86108
349	46302	85990
350	46437	85862
351	46590	85768
352	46729	85649
353	46852	85498
354	46993	85383
355	47133	85264
356	47298	85189
357	47428	85052
358	47558	84917
359	47689	84781
360	47819	84644
361	47965	84535
362	48097	84402
363	48242	84292
364	48380	84169
365	48520	84049
366	48664	83935
367	48795	83800
368	48940	83689
369	49062	83539
370	49205	83423
371	49358	83325
372	49520	83242
373	49669	83136
374	49791	82986
375	49931	82864
376	50067	82737
377	50196	82597
378	50346	82493
379	50484	82369
380	50642	82278
381	50782	82155
382	50921	82032
383	51051	81894
384	51203	81791
385	51342	81669
386	51502	81579
387	51659	81482
388	51798	81358
389	51948	81253
390	52082	81121
391	52216	80988
392	52362	80876
393	52498	80746
394	52627	80606
395	52772	80491
396	52900	80350
397	53024	80202
398	53172	80091
399	53313	79970
400	53460	79857
401	53610	79748
402	53764	79645
403	53907	79526
404	54050	79407
405	54177	79265
406	54309	79129
407	54448	79003
408	54586	78877
409	54725	78751
410	54866	78628
411	54990	78481
412	55141	78372
413	55268	78230
414	55416	78117
415	55547	77980
416	55681	77847
417	55808	77704
418	55944	77574
419	56070	77430
420	56203	77296
421	56349	77180
422	56488	77053
423	56623	76922
424	56763	76798
425	56906	76677
426	57037	76539
427	57179	76417
428	57313	76284
429	57440	76142
430	57614	76061
431	57738	75914
432	57878	75789
433	58008	75651
434	58146	75523
435	58281	75391
436	58405	75245
437	58556	75134
438	58707	75022
439	58841	74889
440	58973	74752
441	59097	74607
442	59235	74479
443	59388	74369
444	59525	74239
445	59663	74111
446	59798	73978
447	59947	73863
448	60081	73730
449	60215	73597
450	60358	73474
451	60484	73331
452	60618	73197
453	60760	73073
454	60892	72937
455	61011	72785
456	61153	72662
457	61296	72539
458	61436	72411
459	61576	72285
460	61732	72177
461	61877	72056
462	62021	71934
463	62159	71805
464	62305	71684
465	62456	71570
466	62573	71416
467	62694	71268
468	62843	71151
469	62967	71006
470	63110	70881
471	63256	70762
472	63404	70643
473	63552	70524
474	63679	70382
475	63821	70256
476	63966	70134
477	64099	69999
478	64241	69874
479	64359	69723
480	64492	69587
481	64620	69446
482	64749	69307
483	64876	69165
484	64984	69004
485	65119	68871
486	65259	68743
487	65394	68610
488	65546	68495
489	65668	68348
490	65799	68211
491	65948	68093
492	66074	67951
493	66222	67830
494	66390	67731
495	66551	67625
496	66748	67554
497	66961	67499
498	67147	67416
499	67304	67304
500	67458	67189
501	67611	67072
502	67775	66967
503	67939	66861
504	68085	66737
505	68228	66610
506	68373	66485
507	68511	66353
508	68657	66229
509	68789	66092
510	68926	65959
511	69068	65830
512	69205	65697
513	69339	65562
514	69478	65431
515	69602	65285
516	69737	65151
517	69891	65033
518	70043	64914
519	70178	64779
520	70312	64644
521	70429	64493
522	70548	64343
523	70659	64187
524	70770	64030
525	70942	63929
526	71130	63841
527	71305	63742
528	71474	63637
529	71697	63580
530	71865	63474
531	72045	63378
532	72202	63261
533	72388	63170
534	72558	63064
535	72711	62944
536	72838	62801
537	72981	62671
538	73120	62538
539	73263	62409
540	73402	62277
541	73524	62129
542	73652	61987
543	73807	61868
544	73972	61756
545	74141	61648
546	74257	61496
547	74397	61363
548	74531	61226
549	74674	61097
550	74823	60972
551	74967	60843
552	75119	60720
553	75245	60576
554	75377	60438
555	75515	60303
556	75639	60158
557	75768	60017
558	75906	59882
559	76068	59768
560	76198	59627
561	76317	59478
562	76475	59359
563	76615	59227
564	76747	59088
565	76910	58974
566	77058	58847
567	77185	58704
568	77319	58566
569	77457	58433
570	77627	58322
571	77783	58201
572	77959	58095
573	78106	57967
574	78249	57836
575	78401	57712
576	78580	57607
577	78745	57492
578	78878	57353
579	79018	57219
580	79184	57105
581	79354	56993
582	79515	56875
583	79690	56766
584	79827	56629
585	79989	56511
586	80134	56380
587	80298	56263
588	80411	56110
589	80553	55978
590	80698	55847
591	80841	55714
592	80985	55583
593	81145	55462
594	81279	55324
595	81417	55189
596	81573	55065
597	81741	54949
598	81898	54827
599	82014	54676
600	82142	54534
601	82285	54401
602	82419	54263
603	82566	54132
604	82697	53992
605	82853	53868
606	83017	53749
607	83132	53598
608	83268	53461
609	83435	53344
610	83616	53235
611	83771	53109
612	83948	52998
613	84109	52876
614	84259	52747
615	84435	52635
616	84601	52516
617	84786	52408
618	84953	52289
619	85133	52178
620	85304	52061
621	85524	51974
622	85712	51867
623	85924	51774
624	86120	51672
625	86332	51578
626	86564	51497
627	86787	51409
628	87012	51322
629	87264	51250
630	87487	51161
631	87689	51059
632	87873	50947
633	88069	50841
634	88273	50739
635	88473	50635
636	88668	50528
637	88831	50402
638	89016	50289
639	89207	50179
640	89424	50083
641	89627	49979
642	89855	49888
643	90069	49789
644	90266	49681
645	90458	49570
646	90654	49460
647	90870	49361
648	91056	49246
649	91246	49132
650	91437	49019
651	91623	48903
652	91818	48791
653	92015	48680
654	92222	48574
655	92433	48471
656	92626	48357
657	92800	48233
658	92974	48109
659	93169	47996
660	93360	47880
661	93568	47773
662	93749	47652
663	93934	47533
664	94129	47418
665	94330	47306
666	94518	47188
667	94708	47070
668	94886	46947
669	95086	46833
670	95283	46718
671	95472	46599
672	95666	46482
673	95875	46373
674	96080	46261
675	96261	46137
676	96459	46021
677	96664	45908
678	96878	45799
679	97087	45688
680	97275	45566
681	97478	45451
682	97669	45331
683	97857	45208
684	98027	45078
685	98226	44960
686	98399	44831
687	98584	44706
688	98777	44586
689	98962	44461
690	99145	44335
691	99319	44205
692	99516	44086
693	99698	43959
694	99883	43833
695	100088	43716
696	100294	43599
697	100450	43461
698	100624	43330
699	100792	43196
700	100974	43068
701	101148	42937
702	101323	42806
703	101518	42683
704	101709	42559
705	101898	42433
706	102055	42294
707	102242	42167
708	102416	42035
709	102606	41909
710	102779	41776
711	102974	41652
712	103138	41515
713	103335	41392
714	103530	41267
715	103714	41138
716	103892	41006
717	104100	40886
718	104281	40755
719	104458	40622
720	104631	40488
721	104816	40358
722	105001	40228
723	105184	40097
724	105351	39960
725	105525	39826
726	105711	39696
727	105891	39563
728	106078	39433
729	106249	39297
730	106439	39168
731	106649	39046
732	106869	38928
733	107051	38795
734	107225	38659
735	107432	38535
736	107599	38397
737	107787	38265
738	107970	38132
739	108120	37988
740	108294	37851
741	108459	37712
742	108635	37576
743	108824	37445
744	108992	37306
745	109195	37179
746	109362	37039
747	109553	36908
748	109724	36770
749	109891	36630
750	110048	36487
751	110224	36350
752	110394	36211
753	110567	36073
754	110729	35932
755	110919	35799
756	111098	35663
757	111294	35532
758	111464	35392
759	111643	35255
760	111795	35110
761	111996	34980
762	112174	34843
763	112363	34709
764	112532	34568
765	112750	34443
766	112923	34304
767	113095	34164
768	113274	34026
769	113455	33889
770	113615	33745
771	113787	33605
772	113951	33462
773	114129	33324
774	114285	33179
775	114455	33038
776	114620	32896
777	114792	32755
778	114962	32614
779	115140	32475
780	115300	32331
781	115480	32192
782	115618	32042
783	115764	31894
784	115925	31750
785	116089	31607
786	116261	31465
787	116425	31322
788	116576	31175
789	116741	31032
790	116889	30884
791	117080	30748
792	117259	30608
793	117433	30467
794	117584	30320
795	117727	30171
796	117894	30028
797	118062	29885
798	118236	29744
799	118406	29601
800	118556	29453
801	118736	29314
802	118927	29176
803	119101	29034
804	119257	28888
805	119426	28745
806	119593	28601
807	119745	28454
808	119905	28309
809	120054	28160
810	120220	28016
811	120369	27868
812	120504	27717
813	120678	27575
814	120837	27429
815	121018	27288
816	121190	27145
817	121369	27003
818	121578	26868
819	121761	26728
820	121917	26581
821	122079	26435
822	122243	26290
823	122380	26139
824	122556	25996
825	122710	25849
826	122859	25701
827	123041	25559
828	123195	25411
829	123360	25266
830	123528	25121
831	123705	24978
832	123853	24830
833	124020	24685
834	124171	24536
835	124355	24395
836	124503	24246
837	124643	24095
838	124804	23949
839	124958	23801
840	125123	23655
841	125276	23507
842	125433	23360
843	125582	23211
844	125727	23062
845	125883	22914
846	126037	22767
847	126191	22619
848	126336	22469
849	126500	22323
850	126641	22173
851	126789	22024
852	126929	21874
853	127098	21728
854	127270	21583
855	127433	21437
856	127571	21286
857	127716	21137
858	127877	20990
859	128017	20840
860	128172	20692
861	128326	20544
862	128469	20394
863	128605	20243
864	128741	20092
865	128896	19944
866	129044	19795
867	129206	19648
868	129372	19502
869	129508	19351
870	129673	19205
871	129827	19057
872	130002	18912
873	130156	18763
874	130310	18615
875	130488	18470
876	130639	18322
877	130791	18173
878	130964	18028
879	131099	17877
880	131240	17727
881	131371	17575
882	131521	17427
883	131656	17276
884	131795	17125
885	131941	16976
886	132081	16826
887	132230	16677
888	132379	16528
889	132528	16379
890	132658	16228
891	132781	16076
892	132919	15926
893	133057	15776
894	133204	15627
895	133352	15478
896	133495	15328
897	133640	15179
898	133808	15033
899	133947	14883
900	134092	14733
901	134211	14581
902	134347	14431
903	134493	14282
904	134633	14132
905	134776	13983
906	134920	13834
907	135084	13686
908	135230	13537
909	135374	13388
910	135571	13244
911	135810	13104
912	135992	12958
913	136178	12813
914	136376	12668
915	136572	12524
916	136768	12379
917	136978	12235
918	137187	12091
919	137397	11947
920	137592	11802
921	137758	11654
922	137946	11508
923	138133	11361
924	138343	11217
925	138502	11068
926	138664	10919
927	138810	10769
928	138987	10622
929	139139	10472
930	139290	10323
931	139456	10174
932	139608	10025
933	139756	9875
934	139929	9727
935	140097	9579
936	140235	9428
937	140359	9277
938	140520	9128
939	140655	8978
940	140796	8827
941	140971	8679
942	141114	8529
943	141244	8378
944	141402	8229
945	141536	8079
946	141657	7928
947	141811	7778
948	141949	7628
949	142095	7478
950	142261	7330
951	142419	7180
952	142564	7030
953	142718	6881
954	142869	6732
955	142995	6581
956	143129	6431
957	143251	6280
958	143390	6130
959	143531	5980
960	143680	5830
961	143836	5681
962	143982	5532
963	144119	5382
964	144289	5233
965	144437	5083
966	144566	4933
967	144711	4783
968	144845	4633
969	144969	4483
970	145093	4333
971	145242	4183
972	145391	4034
973	145537	3884
974	145683	3735
975	145843	3586
976	145972	3436
977	146098	3286
978	146227	3136
979	146372	2987
980	146508	2837
981	146652	2688
982	146795	2538
983	146919	2388
984	147064	2239
985	147206	2090
986	147355	1940
987	147502	1791
988	147639	1642
989	147797	1492
990	147931	1343
991	148053	1193
992	148192	1044
993	148345	895
994	148490	746
995	148617	596
996	148756	447
997	148892	298
998	149025	149
999	149165	0
